wave_vac,wave_err,wn,int,wave_vac_pre,ID,closest_dist,closest_R,wave_air
4397.374504,0.000128,22740.84227,5103,4397.374324,ThI,0.3387640000000829,12980.642878224737,4396.139580241162
4397.713268,0.000127,22739.0905,13458,4397.713384,ThII,0.3387640000000829,12981.642878224737,4396.478255004685
4398.244732,0.000127,22736.34281,4781,4398.244889,ThI,0.5314639999996871,8275.71525447178,4397.009579006491
4400.642348,0.000133,22723.9553,10403,4400.641825,ThI,0.3123040000000401,14090.893321889682,4399.406563410014
4401.621653,0.000125,22718.89951,4951,4401.622352,ThII,0.2888330000005226,15239.330869367546,4400.385610426903
4408.146248,0.00012,22685.27276,4027,4408.145385,ThI,0.36635200000000623,12032.543149757406,4406.908486504843
4409.121801,0.00027,22680.25346,3369,?,,0.5981369999999515,7371.4246084097085,4407.883782475484
4411.13737,0.000156,22669.89024,28406,4411.137630,ThI,0.5096919999996317,8654.515609433125,4409.898820418449
4415.453211,0.000151,22647.73178,3003,4415.453889,ThI,0.2728660000002492,16181.763983039176,4414.213524227219
4416.363473,0.000156,22643.06383,3606,?,,0.3567689999999857,12378.775826936135,4415.123546368938
4417.478153,0.000146,22637.35021,12442,4417.477258,ThII,0.42197399999986374,10468.602693534262,4416.237932640266
4421.011575,0.000145,22619.25768,7119,4421.010358,ThI,0.2338579999996,18904.68393216209,4419.770423511844
4424.504066,0.000151,22601.40312,4281,4424.505284,ThI,0.26621499999964726,16620.040441018962,4423.261994112224
4426.69288,0.00013,22590.22767,12782,?,,0.3345199999994293,13232.96926942351,4425.450231250374
4431.066728,0.000127,22567.92916,8233,4431.066562,ThI,0.46995999999944615,9428.60398332884,4429.822926456156
4434.735785,0.000123,22549.25769,21897,4434.735488,ThI,0.34729299999980867,12769.436138944473,4433.4910163519135
4436.202222,0.000122,22541.80378,16438,4436.201548,Contam,0.3353660000002492,13227.942671578823,4434.957066805359
4436.923812,0.000123,22538.13774,5491,4436.924095,NoID,0.23469399999976304,18905.143770204948,4435.678466593658
4437.29333,0.000123,22536.26086,5125,4437.293913,ThII,0.23573399999986577,18823.306481044427,4436.047887187488
4437.529064,0.000122,22535.06367,8764,4437.529925,ThII,0.23573399999986577,18824.306481044427,4436.283559046895
4438.690703,0.000121,22529.16607,6915,4438.690639,ThI,0.355691000000661,12479.063858775598,4437.444891829638
4440.369648,0.000119,22520.64759,18219,4440.369941,ThII,0.33819099999982427,13129.76882295007,4439.123394235429
4441.820403,0.000118,22513.29206,45522,4441.820355,ThII,0.2201279999999315,20178.352608488618,4440.573766784959
4442.11275,0.000117,22511.8104,35531,4442.112631,ThII,0.29234700000051816,15194.658231458256,4440.866036714781
4448.478046,0.000141,22479.59841,13134,4448.477988,ThI,0.4883859999999913,9108.529003698057,4447.229654562042
4450.769156,0.000142,22468.02665,15571,4450.770116,ArII,0.6405600000007325,6948.247090038264,4449.520160486219
4458.487187,0.000135,22429.13253,18976,4458.487233,ThI,0.4049300000006042,11010.513389952208,4457.236156368221
4465.38908,0.000127,22394.46512,5926,4465.391497,ThI,0.30178499999965425,14796.590552894,4464.136229223533
4466.593475,0.000125,22388.42656,44658,4466.593807,ThII,0.38342699999975594,11649.13653707966,4465.340306582363
4467.228834,0.000178,22385.24233,8499,4467.228461,ThI,0.578084000000672,7727.646560006517,4465.975498013294
4469.574913,0.000122,22373.49232,16786,4469.574778,ThI,0.5628560000004654,7940.885258389898,4468.320958244573
4472.245124,0.00012,22360.13394,30836,4472.245313,ThI,0.5895279999995182,7586.145397680271,4470.99046495726
4474.935222,0.000119,22346.6922,6679,?,,0.2774250000002212,16130.252219505928,4473.679853392265
4477.020965,0.000145,22336.28138,8432,4477.021401,ThI,0.5437039999997069,8234.298377430392,4475.765046215203
4478.469883,0.000143,22329.05493,3208,4478.472556,ThI,0.7203979999994772,6216.660627879658,4477.213582008327
4485.070755,0.000118,22296.19229,3229,?,,0.225814000000355,19861.79224934215,4483.812712660455
4489.571181,0.000134,22273.84219,27960,4489.571542,ThI,0.36735399999997753,12221.375515171401,4488.311951311291
4491.455917,0.000146,22264.49549,3003,4491.455612,ThII,0.2582650000003923,17390.88113756482,4490.196190034007
4491.932808,0.000145,22262.13175,12254,4491.931386,NoID,0.30928100000073755,14523.791658683487,4490.672955206434
